id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct;liked_in;language
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2021-07-18;71697;45464;deposit;PORTUGUESE
2;Frances;Brown;Lucio.Jerde@gmail.com;silver Small Indiana;2021-07-18;48050;90233;alarm Switchable dot-com;PORTUGUESE
3;Gavin;Dibbert;Garfield90@hotmail.com;connecting National;2021-07-18;14194;54263;Infrastructure Berkshire Plastic;PORTUGUESE
4;Columbus;Herman;Vesta_Denesik53@hotmail.com;frictionless Accounts;2021-07-18;24370;15306;Uzbekistan interface;PORTUGUESE
5;Trever;Hilll;Jovanny.Okuneva@hotmail.com;Group;2021-07-18;422;8893;payment Illinois;PORTUGUESE
6;Alexandro;Emmerich;Rory.Price@hotmail.com;invoice white functionalities;2021-07-18;74069;18814;white;ENGLISH
7;Aliza;Kuhn;Hipolito.Russel@gmail.com;Checking National;2021-07-18;33991;23710;reinvent deposit;ENGLISH
8;Trenton;Lebsack;Eileen_Walker@gmail.com;sensor;2021-07-18;44983;10104;Hungary Pataca;PORTUGUESE
9;Lorena;Waters;Darrel.Cruickshank23@yahoo.com;multi-state payment;2021-07-18;3534;64377;Idaho;PORTUGUESE
10;Baby;Torphy;Maynard_Thompson85@gmail.com;Grass-roots backing National;2021-07-18;65408;92230;Philippine back Music;PORTUGUESE
